Club Name,Course Name,City,State,Course ID,Google Places ID,Latitude,Longitude,Access
"500 Club, The","500 Club, The",Phoenix,AZ,13029,ChIJwUVKshZmK4cROKDasGjoLEg,33.697558,-112.178814,Public
Adobe Dam Family Golf Center,Adobe Dam Family Golf Center,Glendale,AZ,13347,ChIJwUVKshZmK4cROKDasGjoLEg,33.697558,-112.178814,Public
Agave Highlands,Agave Highlands,Cornville,AZ,13276,ChIJ6a4zYuUFLYcRyKodR8qKzn8,34.726784,-111.963291,Public
Aguila Golf Course,Aguila Golf Course,Laveen,AZ,13160,ChIJ5yA1h8oQK4cRnrEUOVQZ73A,33.369892,-112.13493,Public
Ahwatukee Country Club,Ahwatukee Country Club,Phoenix,AZ,13236,ChIJaUYUYrMFK4cRwDFQsnCEp3M,33.333493,-111.9821979,Public
Ahwatukee Lakes Golf Club,Ahwatukee Lakes Golf Club,Phoenix,AZ,13237,ChIJaUYUYrMFK4cRwDFQsnCEp3M,33.333493,-111.9821979,Public
Ajo Country Club,Ajo Country Club,Ajo,AZ,13327,ChIJhSqqii5a1YARbD389VL3cS4,32.45088,-112.848885,Public
Ak-Chin Southern Dunes Golf Club,Ak-Chin Southern Dunes Golf Club,Maricopa,AZ,13077,ChIJiZJBDYzkKocRjh7qWThXPI8,33.079653,-112.0852921,Public
Alpine Country Club,Alpine Country Club,Alpine,AZ,13038,ChIJpQimVzhJJocRMwDEKoif3zQ,33.8133361,-109.1095897,Public
Ancala Country Club,Ancala Country Club,Scottsdale,AZ,13082,ChIJWeFzpZafK4cRPgEhDCUrMa0,33.590027,-111.828237,Private
Antelope Hills GC,Antelope Hills GC - North,Prescott,AZ,13127,ChIJl9xan_gvLYcRud91F2QbvUg,34.639932,-112.429368,Public
Antelope Hills GC,Antelope Hills GC - South,Prescott,AZ,13128,ChIJl9xan_gvLYcRud91F2QbvUg,34.639932,-112.429368,Public
Anthem Golf & Country Club,Anthem Golf & Country Club - Ironwood,Anthem,AZ,13121,ChIJVzAx_oidLIcRZNI2w1azPwo,33.865303,-112.110165,Private
Anthem Golf & Country Club,Anthem Golf & Country Club - Persimmon,Anthem,AZ,13122,ChIJVzAx_oidLIcRZNI2w1azPwo,33.865303,-112.110165,Private
Apache Creek Golf Club,Apache Creek Golf Club,Apache Junction,AZ,13123,ChIJn9Nvn7C2K4cRJ7K6gRN0vQc,33.3854663,-111.5625224,Public
Apache Stronghold GC,Apache Stronghold GC,San Carlos,AZ,13273,ChIJuYkbo45LKIcRC3LTq3hXYp4,33.3921819,-110.7655029,Public
Apache Sun Golf Club,Apache Sun Golf Club,Queen Creek,AZ,13346,ChIJj_xIJ2hLKocRgLdkRwbVqpg,33.260881,-111.556729,Public
Apache Wells CC,Apache Wells CC,Mesa,AZ,13124,ChIJxwbhYgilK4cRnUotUFvjaZ0,33.458405,-111.710468,Public
