Club Name,Course Name,City,State,Order,Full Name,Course ID,Google Places ID,Latitude,Longitude
Indian Hills Country Club,Indian Hills Country Club - Seminole/Choctaw,Marietta,GA,3873,"Indian Hills Country Club - Seminole/Choctaw, Marietta, GA",9163,ChIJE7lQ9nMS9YgRyypvNSwECkY,33.966098,-84.428384
Indian Trace,Indian Trace,Chatsworth,GA,3874,"Indian Trace, Chatsworth, GA",8943,ChIJQRr9WkTcX4gRw_S3-ZQ1JB0,34.785543,-84.771623
Innsbruck Golf Club,Innsbruck Golf Club,Helen,GA,3875,"Innsbruck Golf Club, Helen, GA",9101,ChIJCzZ1RC42X4gRUSj1ZX4bp78,34.705876,-83.714644
International City Golf Club,International City Golf Club,Warner Robins,GA,3876,"International City Golf Club, Warner Robins, GA",9001,ChIJ_bEn1Jfg84gRGyJ5nVufUZc,32.57953,-83.6045551
Ironwood Golf Club,Ironwood Golf Club,Cordele,GA,3877,"Ironwood Golf Club, Cordele, GA",9166,ChIJxa6E-WEj8ogRfBghUFR1G90,31.928964,-83.736224
Jekyll Island Golf Club,Jekyll Island Golf Club - Great Dunes,Jekyll Island,GA,3878,"Jekyll Island Golf Club - Great Dunes, Jekyll Island, GA",9111,ChIJY_D-yw7c5IgRAXIlJoOnkH0,31.069255,-81.420607
Jekyll Island Golf Club,Jekyll Island Golf Club - Indian Mound,Jekyll Island,GA,3879,"Jekyll Island Golf Club - Indian Mound, Jekyll Island, GA",9170,ChIJY_D-yw7c5IgRAXIlJoOnkH0,31.069255,-81.420607
Jekyll Island Golf Club,Jekyll Island Golf Club - Oleander,Jekyll Island,GA,3880,"Jekyll Island Golf Club - Oleander, Jekyll Island, GA",9068,ChIJY_D-yw7c5IgRAXIlJoOnkH0,31.069255,-81.420607
Jekyll Island Golf Club,Jekyll Island Golf Club - Pine Lakes,Jekyll Island,GA,3881,"Jekyll Island Golf Club - Pine Lakes, Jekyll Island, GA",8960,ChIJY_D-yw7c5IgRAXIlJoOnkH0,31.069255,-81.420607
Jennings Mill Country Club,Jennings Mill Country Club,Watkinsville,GA,3882,"Jennings Mill Country Club, Watkinsville, GA",9019,ChIJ4QkDMLJz9ogR7mfUzCK5anU,33.925123,-83.466533
John A. White Golf Course,John A. White Golf Course,Atlanta,GA,3883,"John A. White Golf Course, Atlanta, GA",9161,ChIJDSG5UcUc9YgRM6F5cPcCF-0,#N/A,#N/A
Johnson County Country Club,Johnson County Country Club,Wrightsville,GA,3884,"Johnson County Country Club, Wrightsville, GA",9094,ChIJE9vYvU_f8IgRJP9ZkOhuIwQ,32.597747,-82.89294
Jones Creek Golf Club,Jones Creek Golf Club,Evans,GA,3885,"Jones Creek Golf Club, Evans, GA",9225,ChIJyX6L99Es-IgRsLM11qVFaM8,#N/A,#N/A
Kinderlou Forest Golf Club,Kinderlou Forest Golf Club,Valdosta,GA,3886,"Kinderlou Forest Golf Club, Valdosta, GA",13989,ChIJIQ9Vl3hj7ogRblfpWdWMmrE,30.809543,-83.381864
