Address,Course ID
"Queen Valley Golf Club, Queen Valley, AZ",13340
"Queen's Bay Golf Course, Lake Havasu City, AZ",13350
"Quintero Golf and Country Club, Peoria, AZ",13159
"Rancho Manana Golf Club, Cave Creek, AZ",13283
"Randolph North, Tucson, AZ",13210
"Raven Golf Club-Phoenix, Phoenix, AZ",13240
"Red Mountain Ranch CC, Mesa, AZ",13056
"Refuge GC, The, Lake Havasu City, AZ",13214
"Rim Club, The, Payson, AZ",13220
"Rio Rico Resort & Country Club, Rio Rico, AZ",13019
"Rio Salado Golf Course, Tempe, AZ",13337
"Rio Verde CC, Rio Verde, AZ",26424
"Rio Verde CC, Rio Verde, AZ",13091
"Rio Verde CC, Rio Verde, AZ",24001
"Rio Verde CC, Rio Verde, AZ",21169
"Rio Verde CC, Rio Verde, AZ",21170
"Rio Verde CC, Rio Verde, AZ",28552
"Rio Verde CC, Rio Verde, AZ",13092
"River Run Golf Club, Eagar, AZ",13342
"Riverview Golf Course, Mesa, AZ",13325
"Robson Ranch, Eloy, AZ",13090
"Rolling Hills- Tempe, Tempe, AZ",20722
"Rolling Hills- Tucson, Tucson, AZ",20723
"SaddleBrooke GC, Tucson, AZ",20838
"SaddleBrooke GC, Tucson, AZ",13041
"SaddleBrooke GC, Tucson, AZ",20839
"SaddleBrooke GC, Tucson, AZ",13040
"SaddleBrooke GC, Tucson, AZ",20840
"SaddleBrooke GC, Tucson, AZ",13042
"SaddleBrooke GC, Tucson, AZ",13333
"Saddlebrooke Ranch Golf Club, Oracle, AZ",13039
"Safford Mt Graham GC, Safford, AZ",13017
"Salome Heights Golf Course, Salome, AZ",13349
"San Carlos Club de Golf, San Carlos, AZ",20810
"San Ignacio Golf Club, Green Valley, AZ",13176
"San Ignacio Golf Club, Green Valley, AZ",20858
"San Manuel Golf Course, San Manuel, AZ",13314
"San Marcos Golf & Country Club, Chandler, AZ",13294
"San Miguel Golf Club, Eloy, AZ",13078
"San Pedro Golf Course, Benson, AZ",13228
"Santa Rita Country Club, Corona de Tucson, AZ",13018
"Scottsdale National Golf Club, Scottsdale, AZ",13171
"Scottsdale National Golf Club, Scottsdale, AZ",26080
"Scottsdale Silverado Golf Club, Scottsdale, AZ",13258
"Sedona Golf Resort, Sedona, AZ",13081
"Seven Canyons, Sedona, AZ",13033
"Seville Golf & Country Club, Gilbert, AZ",13170
"Sewailo Golf Club, Tucson, AZ",23609
"Shadow Hills Golf Course, Pearce Sunsites, AZ",13022
"Shalimar CC, Tempe, AZ",13289
"Silver Creek Golf Club, Show Low, AZ",13181
"Silverbell Golf Course, Tucson, AZ",13249
"Silverleaf, Scottsdale, AZ",13183
"Skyline Country Club, Tucson, AZ",13004
"Snowflake Golf Course, Snowflake, AZ",13230
"Snowflake Golf Course, Snowflake, AZ",20825
"Southern Ridge Golf Course, Laveen, AZ",13339
"Springfield Golf Club, Chandler, AZ",13055
"Stardust - Sun City West, Sun City West, AZ",13196
"Starfire Golf Club, Scottsdale, AZ",20827
"Starfire Golf Club, Scottsdale, AZ",13108
"Starfire Golf Club, Scottsdale, AZ",20828
"Starfire Golf Club, Scottsdale, AZ",13109
"Starfire Golf Club, Scottsdale, AZ",20826
"Starfire Golf Club, Scottsdale, AZ",13110
"Starr Pass, Tucson, AZ",17791
"Starr Pass, Tucson, AZ",21135
"Starr Pass, Tucson, AZ",13070
"Starr Pass, Tucson, AZ",13071
"Starr Pass, Tucson, AZ",13072
"Stone Canyon Club, The, Oro Valley, AZ",13203
"Stonecreek, The Golf Club, Phoenix, AZ",13245
"Stoneridge Golf Course, Prescott Valley, AZ",13057
