Place,Course ID,Place ID
"Sea Mountain GC, Sitka, AK",12979,ChIJefZN0glmBFQR5jGLybJOVGQ
"Settlers Bay GC, Wasilla, AK",12985,ChIJ99KyYWzeyFYR9WLRPnRgfrw
"500 Club, The, Phoenix, AZ",13029,ChIJwUVKshZmK4cROKDasGjoLEg
"Adobe Dam Family Golf Center, Glendale, AZ",13347,ChIJwUVKshZmK4cROKDasGjoLEg
"Agave Highlands, Cornville, AZ",13276,ChIJ6a4zYuUFLYcRyKodR8qKzn8
"Aguila Golf Course, Laveen, AZ",13160,ChIJ5yA1h8oQK4cRnrEUOVQZ73A
"Ahwatukee Country Club, Phoenix, AZ",13236,ChIJaUYUYrMFK4cRwDFQsnCEp3M
"Ahwatukee Lakes Golf Club, Phoenix, AZ",13237,ChIJaUYUYrMFK4cRwDFQsnCEp3M
"Ajo Country Club, Ajo, AZ",13327,ChIJhSqqii5a1YARbD389VL3cS4
"Ak-Chin Southern Dunes Golf Club, Maricopa, AZ",13077,ChIJiZJBDYzkKocRjh7qWThXPI8
"Alpine Country Club, Alpine, AZ",13038,ChIJpQimVzhJJocRMwDEKoif3zQ
"Alta Mesa Golf Club, Mesa, AZ",13295,ChIJ8a2ZmXelK4cR6YodavVU2c8
"Ancala Country Club, Scottsdale, AZ",13082,ChIJWeFzpZafK4cRPgEhDCUrMa0
"Antelope Hills GC, Prescott, AZ",13127,ChIJl9xan_gvLYcRud91F2QbvUg
"Antelope Hills GC, Prescott, AZ",13128,ChIJl9xan_gvLYcRud91F2QbvUg
"Anthem Golf & Country Club, Anthem, AZ",13121,ChIJVzAx_oidLIcRZNI2w1azPwo
"Anthem Golf & Country Club, Anthem, AZ",13122,ChIJVzAx_oidLIcRZNI2w1azPwo
"Apache Creek Golf Club, Apache Junction, AZ",13123,ChIJn9Nvn7C2K4cRJ7K6gRN0vQc
"Apache Stronghold GC, San Carlos, AZ",13273,ChIJuYkbo45LKIcRC3LTq3hXYp4
"Apache Sun Golf Club, Queen Creek, AZ",13346,ChIJj_xIJ2hLKocRgLdkRwbVqpg
"Apache Wells CC, Mesa, AZ",13124,ChIJxwbhYgilK4cRnUotUFvjaZ0
"Arizona Biltmore CC, Phoenix, AZ",13271,ChIJ47o1_EENK4cRCeK-yfYA-V8
"Arizona Biltmore CC, Phoenix, AZ",13272,ChIJ47o1_EENK4cRCeK-yfYA-V8
"Arizona City Golf Course, Arizona City, AZ",13266,ChIJXW2rEwRdKocRMbF9prLLmc0
"Arizona Country Club, Phoenix, AZ",13311,ChIJQ99OFgsMK4cRQberKV9Gp0c
"Arizona Golf Resort, Mesa, AZ",13231,ChIJ77oNQMKvK4cRo0q39sd7YyI
"Arizona Grand Golf Course, Phoenix, AZ",13095,ChIJL7Z5avQFK4cRO4PIpaKi9iA
"Arizona National GC, Tucson, AZ",13147,ChIJ8zhdX-Br1oYRgCibKTsy_j4
"Arizona Traditions, Surprise, AZ",13326,ChIJV5QUCw5QK4cREiDZ-x1bL7k
"Arrowhead Country Club, Glendale, AZ",13067,ChIJN59l7RJoK4cRk6Jq_GqequE
"Aspen Valley Golf Club, Flagstaff, AZ",13257,ChIJhRYSkpOOLYcRSB2QK_wucIY
"Augusta Ranch Golf Club, Mesa, AZ",13172,ChIJGaCDFZexK4cR_4UdN06um0M
"BC Ranch Golf Club, Lake Montezuma, AZ",13163,N/A
"Bear Creek Golf Complex, Chandler, AZ",13180,ChIJ96YNv0dVKocRghTvc9tSdy4
"Bear Creek Golf Complex, Chandler, AZ",13179,ChIJ96YNv0dVKocRghTvc9tSdy4
"Bellair Golf Club, Glendale, AZ",13324,ChIJD16LWNloK4cRvPvnNTuiefc
"Bison Golf Club, Show Low, AZ",13152,ChIJ_Vz6YxUzL4cR2Qwsbm0YyYU
"Blackstone Country Club, Peoria, AZ",13145,ChIJV6L7AMleK4cRsasqfRmrXUU
"Boulders, Carefree, AZ",20791,ChIJoTrmADp5K4cR3DmTAWZujWM
"Boulders, Carefree, AZ",20792,ChIJoTrmADp5K4cR3DmTAWZujWM
"Boulders, Carefree, AZ",20793,ChIJoTrmADp5K4cR3DmTAWZujWM
"Boulders, Carefree, AZ",20794,ChIJoTrmADp5K4cR3DmTAWZujWM
"Boulders, Carefree, AZ",13125,ChIJoTrmADp5K4cR3DmTAWZujWM
"Boulders, Carefree, AZ",13126,ChIJoTrmADp5K4cR3DmTAWZujWM
