Place,Course ID,Place ID
"Cumberland Lake Golf Course, Pinson, AL",169,ChIJTXC6AkmniYgR1k5zMJZt8xg
"Azalea at Marriott's Grand Hotel & Lakewood Golf Club, Point Clear, AL",170,ChIJd66HOz8_mogRZSKs28ZoJcw
"Dogwood at Marriott's Grand Hotel & Lakewood Golf Club, Point Clear, AL",171,ChIJd66HOz8_mogRZSKs28ZoJcw
"Capitol Hill Golf Club - Judge Course, Prattville, AL",172,ChIJ80qbN3CFjogR3RlHYBv_PNU
"Capitol Hill Golf Club - Legislator Course, Prattville, AL",173,ChIJ80qbN3CFjogR3RlHYBv_PNU
"Capitol Hill Golf Club - Senator Course, Prattville, AL",174,ChIJ80qbN3CFjogR3RlHYBv_PNU
"Prattville Country Club, Prattville, AL",175,ChIJmZM1wAOPjogRh7uAOK8iayo
"Rainsville Golf & Country Club, Rainsville, AL",176,ChIJb5EyGFbYYYgR9xXJAN2n3R0
"Redmont Country Club, Red Bay, AL",177,ChIJeWFRCUaAh4gRjSiZA6tARB8
"The Links at Redstone - Patriot Course, Huntsville, AL",178,ChIJs7tsf5puYogRTmqTJofI9PE
"The Links at Redstone - Warrior Course, Huntsville, AL",179,ChIJs7tsf5puYogRTmqTJofI9PE
"Knolls Country Club, Reform, AL",180,ChIJJxZ6rvlohogRSeBFe4v_cmc
"Roanoke Country Club, Roanoke, AL",181,ChIJU2oEb7Jli4gRGAzb1BfUKxE
"The General Golf Course at Joe Wheeler State Park, Rogersville, AL",182,ChIJuxKiveq4YogRcrBRPmoijls
"Twin Pines Country Club, Russellville, AL",183,ChIJFVZYuWdYfYgRtI1KNUMZp4g
"Broken Arrow Golf Course, Scottsboro, AL",184,ChIJ8QCBPufuYYgRXg7MJfnSOnw
"Goose Pond Colony Resort - Lake Course, Scottsboro, AL",185,ChIJx-3TIiXlYYgRLSBh9Z_OqOc
"Goose Pond Colony Resort - Plantation Course, Scottsboro, AL",186,ChIJX2Lz_yXlYYgRvisgbcVU4hI
"Scottsboro Golf & Country Club, Scottsboro, AL",187,ChIJD67UZ3HvYYgR4Qtc6T09Vh4
"Craig Golf Course, Selma, AL",188,ChIJ15eyaCkHj4gRMzMOJw7jK0Q
"Selma Country Club, Selma, AL",189,ChIJSQxhAXUGj4gRdmSzvS7JZ_E
"Oak Hill Country Club, Sulligent, AL",190,ChIJ8yMoxqKrh4gR-y_4ZlmQAmw
"FarmLinks at Pursell Farms, Sylacauga, AL",191,ChIJeyapxN9NiYgRdCRgPEhctuc
"Sylacauga Country Club, Sylacauga, AL",192,ChIJQxRDgbnii4gRQdlhlqlYPxI
"Talladega Municipal Golf, Talladega, AL",193,ChIJM7t3Lmfbi4gRn_pcJf64PL4
"Timber Ridge Golf Club, Talladega, AL",194,ChIJXbsCPqDDi4gRCvGC9prLi2w
"Meadowlake Golf Course, Theodore, AL",195,ChIJfYhQcyO0m4gRJK-qNDtsDmQ
"Pineview Country Club, Thomasville, AL",196,ChIJ1ypTIYdDhYgRcMfSt_O2EUE
"Trojan Oaks Golf Course, Troy, AL",197,N/A
"Troy Country Club, Troy, AL",198,ChIJh3MewwntjYgRsDypQfKFL-Y
"Trussville Country Club, Trussville, AL",199,ChIJh4N72OhyiYgR--NjRZwWhf0
"Indian Hills Country Club, Tuscaloosa, AL",200,ChIJG-pHDqwChogRUaoqtMTakac
"Northriver Yacht Club, Tuscaloosa, AL",201,ChIJ54x_EOKmiIgRvTrc306S_mk
"Ol' Colony Golf Complex, Tuscaloosa, AL",202,ChIJGzQwuIuniIgRNs0Wtwk-bJY
"Tall Pines Golf Course, Tuscaloosa, AL",203,ChIJkUoAz0-piIgRDx4P37FWBvM
"The Links At Tuscaloosa, Tuscaloosa, AL",204,ChIJe96Gf-awiIgRSlanSVpfH1U
"Spring Creek Golf Course, Tuscumbia, AL",205,ChIJHwd834hFfYgRkDooyrXauQ0
"Tennessee Valley Country Club, Tuscumbia, AL",206,ChIJfaH-i4hFfYgRIlJeGKH3pOE
"Cherokee Ridge Country Club, Union Grove, AL",207,ChIJnRWep2bgiYgRBaXATPcpNKc
"Union Springs Country Club, Union Springs, AL",208,ChIJG7hNlIqvjYgRHkS5Wsns1oQ
"Rolling Hills Golf Course, Valley, AL",209,ChIJO3UgPYDUjYgR0H7S7lmejEY
"Valley Grande Golf Course, Valley Grande, AL",210,ChIJq5R6lTEOj4gRJ0eMsNavqms
"Old Overton Club, Vestavia Hills, AL",211,ChIJHZitoEkRiYgRf-mxwV44oKI
"Emerald Mountain Golf Club, Wetumpka, AL",212,ChIJzbLj6MQvjIgRGjC5u3tFoPY
"Quail Walk Golf Course, Wetumpka, AL",213,ChIJu0C6KCwnjIgRvEdqxYxyqIQ
"Sumter Country Club, York, AL",214,ChIJPU4puEJQhIgRGPkGi5yBSW4
"Fireweed Meadows Golf Course, Anchor Point, AK",215,ChIJFR5QOs9KwVYRXyKqilW4NFs
"Moose Run Golf Course - Creek Course, Fort Richardson, AK",216,ChIJ9xOJtUaUyFYRjvfg28zXGfg
"Moose Run Golf Course - Hill Course, Fort Richardson, AK",217,ChIJ9xOJtUaUyFYRjvfg28zXGfg
